C/NO-1 (dB-Hz),PR-1 (m),Elevation-1 (deg),output-1
46.499233,38356654.52,33.416912,LOS
45.622009,38356723.96,33.416161,LOS
45.281303,38356788.03,33.415405,LOS
44.696774,38356857.32,33.414669,LOS
44.315319,38356926.83,33.413921,MP
44.448864,38356996.41,33.41317,MP
44.929298,38357060.43,33.412418,LOS
45.717064,38357129.77,33.411682,LOS
46.913887,38357199.41,33.410934,LOS
47.622952,38357269.13,33.410183,LOS
47.957832,38357333.1,33.409443,LOS
47.281368,38357402.52,33.408691,LOS
46.837132,38357472.01,33.407948,LOS
46.933109,38357536.06,33.407204,LOS
46.529968,38357605.22,33.406456,LOS
46.439987,38357674.79,33.405712,LOS
45.552692,38357743.92,33.404972,LOS
45.441544,38357808.07,33.404221,LOS
45.54324,38357877.32,33.403473,LOS
45.937569,38357946.8,33.402729,LOS
45.885597,38358015.88,33.401993,LOS
46.589432,38358079.91,33.401249,LOS
46.678364,38358149.25,33.400497,LOS
46.461475,38358218.83,33.399757,LOS
46.331921,38358288.53,33.39901,LOS
46.187195,38358352.34,33.39827,LOS
45.441029,38358421.84,33.397526,LOS
44.882687,38358491.32,33.396786,LOS
45.571472,38358555.21,33.396038,LOS
46.806797,38358624.71,33.395298,LOS
47.837746,38358693.8,33.394554,LOS
48.469902,38358763.4,33.39381,LOS
47.605446,38358827.4,33.393066,LOS
46.912682,38358896.7,33.392323,LOS
46.806187,38358966.01,33.391586,LOS
45.366306,38359029.75,33.39085,LOS
45.227077,38359099.33,33.390102,LOS
45.522533,38359168.44,33.389355,LOS
46.245007,38359237.33,33.388611,LOS
46.195641,38359301.22,33.387878,LOS
46.648819,38359370.41,33.387135,LOS
47.437897,38359439.75,33.386398,LOS
47.398941,38359508.74,33.385654,LOS
47.11274,38359572.37,33.384907,LOS
46.073631,38359641.45,33.384167,LOS
46.74218,38359710.64,33.383434,LOS
47.590912,38359779.84,33.382694,LOS
47.739605,38359843.34,33.381954,LOS
47.529064,38359912.16,33.38121,LOS
46.270813,38359981.18,33.38047,LOS
47.228958,38360049.99,33.379734,LOS
47.34285,38360113.17,33.378994,LOS
47.705662,38360181.87,33.37825,LOS
47.978802,38360250.78,33.377514,LOS
47.669704,38360319.43,33.37677,LOS
47.447853,38360382.88,33.376038,LOS
47.169659,38360451.71,33.37529,LOS
46.703247,38360520.7,33.374554,LOS
47.297386,38360589.55,33.373817,LOS
47.066853,38360658.52,33.373077,LOS
47.335766,38360721.43,33.372337,LOS
47.071724,38360790.43,33.371601,LOS
47.238365,38360858.86,33.370865,LOS
47.649521,38360928.13,33.370125,LOS
47.578487,38360991.65,33.369389,LOS
47.502586,38361060.32,33.368649,LOS
47.734894,38361129.3,33.367901,LOS
47.6908,38361192.81,33.367176,LOS
48.406662,38361261.63,33.366436,LOS
48.652317,38361330.61,33.365704,LOS
48.164551,38361399.27,33.364964,LOS
47.532387,38361463.3,33.364227,LOS
47.236305,38361531.95,33.363487,LOS
46.775345,38361600.92,33.362755,LOS
46.763554,38361664.42,33.362015,LOS
46.053806,38361732.95,33.361282,LOS
46.059696,38361801.8,33.360546,LOS
45.704582,38361865.62,33.35981,LOS
45.762001,38361934.69,33.35907,LOS
46.875423,38362003.6,33.358341,LOS
47.137348,38362072.5,33.357601,LOS
47.773834,38362136.04,33.356861,LOS
47.336426,38362204.54,33.356129,LOS
46.853451,38362273.47,33.355392,LOS
46.68095,38362336.64,33.354668,LOS
46.606529,38362405.21,33.353928,LOS
45.420555,38362473.89,33.353191,LOS
45.53994,38362536.77,33.352455,LOS
45.618687,38362605.65,33.351723,LOS
45.401482,38362674.03,33.35099,LOS
44.632172,38362742.67,33.350254,LOS
45.012535,38362806.07,33.349514,LOS
45.791252,38362874.21,33.348793,LOS
46.984215,38362942.61,33.348049,LOS
47.254883,38363011.02,33.347321,LOS
47.675087,38363074.25,33.346588,LOS
48.29525,38363142.33,33.34586,LOS
48.017391,38363210.5,33.345119,LOS
48.105686,38363279.26,33.344387,LOS
48.131573,38363342.47,33.343655,LOS
47.923431,38363411.02,33.342926,LOS
47.038864,38363479.44,33.342194,LOS
46.558147,38363548.07,33.341454,LOS
46.419163,38363610.97,33.340729,LOS
46.243988,38363679.6,33.339996,LOS
46.190067,38363747.7,33.339264,LOS
46.932659,38363810.85,33.338528,LOS
46.958443,38363879.46,33.337803,LOS
47.414837,38363947.75,33.33707,LOS
47.442158,38364016.39,33.336334,LOS
47.399937,38364078.86,33.335606,LOS
47.429764,38364147.12,33.334873,LOS
