C/NO-1 (dB-Hz),PR-1 (m),Elevation-1 (deg),output-1
51.705597,36338697.29,59.087063,LOS
51.821503,36338691.56,59.087097,LOS
51.229893,36338680.18,59.087128,LOS
51.034439,36338674.3,59.087151,LOS
50.548183,36338668.47,59.087181,LOS
50.406509,36338662.48,59.087215,LOS
50.163921,36338651.02,59.087234,LOS
49.892593,36338645.18,59.087269,LOS
49.791569,36338639.21,59.087303,LOS
49.417778,36338633.23,59.08733,MP
49.181484,36338621.98,59.087364,MP
48.592812,36338616.29,59.087395,MP
48.591255,36338610.35,59.087418,MP
48.82206,36338598.88,59.087452,MP
48.607353,36338592.85,59.087486,MP
48.249725,36338586.91,59.087517,MP
48.478676,36338580.99,59.087543,MP
48.802216,36338569.5,59.087566,MP
49.322277,36338563.46,59.087597,MP
49.488548,36338557.55,59.087631,MP
49.94952,36338551.66,59.087658,LOS
50.109203,36338540.45,59.087685,LOS
50.164612,36338534.56,59.087715,LOS
50.585693,36338528.73,59.087749,LOS
50.706585,36338522.96,59.087788,LOS
50.799065,36338511.8,59.087807,LOS
50.524788,36338505.71,59.087837,LOS
50.518383,36338499.94,59.087872,LOS
50.113766,36338488.72,59.087898,LOS
50.08144,36338482.96,59.087933,LOS
50.148857,36338477.2,59.087967,LOS
49.764412,36338471.26,59.087994,LOS
49.285019,36338459.88,59.088024,MP
49.395641,36338454.09,59.088055,MP
49.567032,36338448.04,59.088085,LOS
49.762009,36338436.72,59.08812,LOS
49.879242,36338430.81,59.088142,LOS
50.293213,36338425.03,59.088177,LOS
50.480595,36338418.96,59.088211,LOS
50.603806,36338407.38,59.088242,LOS
50.547028,36338401.42,59.088272,LOS
50.80381,36338395.5,59.088303,LOS
51.19397,36338389.45,59.088341,LOS
51.103195,36338378.26,59.088375,LOS
51.655361,36338372.04,59.088406,LOS
51.506004,36338366.11,59.088428,LOS
51.752968,36338360.15,59.088463,LOS
51.400517,36338348.94,59.088509,LOS
51.430725,36338342.84,59.088531,LOS
51.043667,36338336.67,59.088562,LOS
51.456375,36338330.2,59.088604,LOS
51.238537,36338318.47,59.088638,LOS
51.217457,36338312.13,59.088661,LOS
51.225021,36338306.04,59.088692,LOS
51.30669,36338299.78,59.08873,LOS
51.474907,36338288.35,59.088764,LOS
51.033314,36338282.12,59.088795,LOS
51.076111,36338275.69,59.088829,LOS
51.044903,36338269.6,59.088856,LOS
50.676014,36338263.29,59.08889,LOS
50.565079,36338251.74,59.088924,LOS
50.178299,36338245.58,59.088947,LOS
50.248722,36338239.37,59.088982,LOS
50.176907,36338233.51,59.089012,LOS
50.007675,36338221.93,59.08905,LOS
49.83952,36338216.04,59.089081,LOS
49.412556,36338209.87,59.089119,MP
49.540127,36338198.73,59.089153,LOS
49.387848,36338192.55,59.089184,MP
49.827057,36338186.56,59.089214,LOS
49.370949,36338180.44,59.089245,MP
49.560986,36338169.31,59.089283,LOS
49.58255,36338163.32,59.089317,LOS
49.538807,36338157.43,59.089348,LOS
49.191559,36338146.1,59.089397,MP
49.387691,36338140.24,59.089417,MP
49.275833,36338133.91,59.089455,MP
49.348312,36338122.73,59.089489,MP
49.494141,36338116.6,59.089523,MP
49.718182,36338110.78,59.089565,LOS
49.395058,36338104.79,59.0896,MP
49.585587,36338093.58,59.089622,LOS
49.332329,36338087.64,59.089664,MP
50.04108,36338081.53,59.089695,LOS
50.446423,36338070.21,59.089737,LOS
50.974213,36338064.22,59.089764,LOS
50.869366,36338057.77,59.089798,LOS
51.342342,36338046.18,59.089832,LOS
51.376038,36338039.99,59.08987,LOS
51.294514,36338033.65,59.089901,LOS
51.041695,36338027.52,59.089935,LOS
51.598919,36338015.89,59.089985,LOS
51.092648,36338009.53,59.090008,LOS
51.481369,36338003.29,59.09005,LOS
51.17728,36337996.98,59.090076,LOS
50.923943,36337985.62,59.090126,LOS
50.679279,36337979.24,59.090157,LOS
49.970497,36337972.96,59.090187,LOS
49.308594,36337966.68,59.090221,MP
49.350193,36337955.25,59.090256,MP
49.466686,36337949.26,59.09029,MP
50.109158,36337943.14,59.090328,LOS
50.099094,36337937.13,59.090363,LOS
50.159676,36337925.34,59.090397,LOS
50.377987,36337918.85,59.090439,LOS
50.89069,36337912.59,59.090473,LOS
50.609108,36337901.07,59.090508,LOS
50.804714,36337895.03,59.090542,LOS
50.797787,36337888.94,59.090576,LOS
51.557972,36337882.85,59.090614,LOS
51.507317,36337871.17,59.090649,LOS
51.480186,36337864.85,59.090691,LOS
51.793842,36337858.51,59.090725,LOS
52.062687,36337852.42,59.090767,LOS
52.062263,36337840.86,59.090801,LOS
52.226315,36337834.65,59.090843,LOS
52.203831,36337828.49,59.090878,LOS
52.304729,36337816.94,59.090912,LOS
51.755749,36337810.73,59.090946,LOS
51.689785,36337804.59,59.090984,LOS
52.255363,36337797.99,59.091019,LOS
51.982162,36337786.49,59.091061,LOS
51.452728,36337780.0,59.091095,LOS
51.5471,36337773.64,59.091133,LOS
51.480621,36337767.58,59.091167,LOS
51.580429,36337755.89,59.091202,LOS
51.697292,36337749.64,59.091248,LOS
51.548237,36337743.44,59.091282,LOS
51.820564,36337731.96,59.09132,LOS
51.344875,36337725.77,59.091362,LOS
51.369606,36337719.45,59.091396,LOS
51.899593,36337713.36,59.091434,LOS
51.984741,36337701.63,59.091469,LOS
51.99144,36337695.02,59.091503,LOS
51.948769,36337688.81,59.091537,LOS
51.74781,36337677.32,59.091587,LOS
51.850018,36337671.06,59.091621,LOS
51.553925,36337664.94,59.091656,LOS
51.257175,36337658.69,59.091702,LOS
51.733101,36337647.26,59.091736,LOS
52.194096,36337640.73,59.091774,LOS
51.807415,36337634.52,59.091808,LOS
51.624992,36337622.65,59.091854,LOS
51.818211,36337616.57,59.091888,LOS
51.575726,36337610.22,59.091927,LOS
51.290344,36337603.94,59.091969,LOS
51.515457,36337592.37,59.09201,LOS
51.508694,36337586.04,59.092041,LOS
51.342583,36337579.67,59.092087,LOS
51.764957,36337568.08,59.092125,LOS
51.796246,36337561.82,59.092159,LOS
51.844746,36337555.33,59.092201,LOS
51.80146,36337548.81,59.092236,LOS
51.537136,36337536.98,59.092278,LOS
51.702652,36337530.44,59.092319,LOS
51.607166,36337524.01,59.092361,LOS
51.506569,36337517.81,59.092396,LOS
51.650639,36337505.93,59.092442,LOS
51.658012,36337499.18,59.092476,LOS
51.672279,36337492.78,59.092525,LOS
51.300838,36337486.42,59.092556,LOS
50.994106,36337474.81,59.092598,LOS
51.199276,36337468.31,59.09264,LOS
51.28582,36337461.73,59.092678,LOS
51.027699,36337455.3,59.092712,LOS
51.090714,36337443.42,59.092762,LOS
51.24419,36337437.13,59.092796,LOS
50.9142,36337430.52,59.092834,LOS
51.438725,36337423.95,59.092876,LOS
51.427528,36337411.78,59.092918,LOS
51.306274,36337405.32,59.092953,LOS
51.296719,36337398.71,59.092999,LOS
51.413113,36337386.7,59.093044,LOS
51.559425,36337380.17,59.093082,LOS
51.458542,36337373.42,59.093121,LOS
51.169739,36337366.98,59.093166,LOS
50.792995,36337360.31,59.093212,LOS
50.865738,36337348.41,59.093246,LOS
51.09037,36337341.67,59.093281,LOS
50.930908,36337335.24,59.09333,LOS
50.809307,36337323.4,59.093365,LOS
50.698662,36337316.82,59.093403,LOS
50.856716,36337310.26,59.093452,LOS
50.060696,36337303.77,59.093491,LOS
49.943981,36337291.94,59.093533,LOS
49.800785,36337285.65,59.093575,LOS
49.904243,36337279.13,59.093616,LOS
49.760914,36337272.59,59.093666,LOS
49.478691,36337260.89,59.093704,MP
49.337994,36337254.43,59.093742,MP
48.768745,36337248.16,59.093788,MP
49.150967,36337236.4,59.093819,MP
49.364933,36337230.12,59.093868,MP
48.743904,36337223.67,59.093903,MP
48.471134,36337211.89,59.093952,MP
47.93623,36337205.73,59.093994,MP
48.041023,36337199.32,59.094032,MP
48.069389,36337187.67,59.094078,MP
48.290554,36337181.07,59.09412,MP
